Accession	Stock ID	Sequenced by	Platform	Status	Alt name
Aa_0	CS76428	Salk	Illumina	Released	CS6600
Abd_0	CS76429	Salk	Illumina	Released	CS932
Ag_0	CS76430	Salk	Illumina	Released	CS22630
Ak_1	CS76431	Salk	Illumina	Released	CS6602
Alst_1	CS76432	Salk	Illumina	Released	CS22550
Altai_5	CS76433	Salk	Illumina	Released	548AV
Amel_1	CS76434	Salk	Illumina	Released	CS22526
An_1	CS76435	Salk	Illumina	Released	CS22626
Ang_0	CS76436	Salk	Illumina	Released	CS6605
Anholt_1	CS76437	Salk	Illumina	Released	CS22313
Ann_1	CS76438	Salk	Illumina	Released	CS22520
Anz_0	CS76439	Salk	Illumina	Released	N/A
Appt_1	CS76440	Salk	Illumina	Released	CS22528
Ba_1	CS76441	Salk	Illumina	Released	CS952
Baa_1	CS76442	Salk	Illumina	Released	CS22529
Bch_1	CS76444	Salk	Illumina	Released	CS6609
Bd_0	CS76445	Salk	Illumina	Released	CS962
Benk_1	CS76447	Salk	Illumina	Released	CS22530
Ber	CS76448	Salk	Illumina	Released	CS3109
Bg_2	CS28069	Salk	Illumina	Released	CS28069
Bik_1	CS76449	Salk	Illumina	Released	541AV
Bl_1	CS76450	Salk	Illumina	Released	CS968
Bla_1	CS76451	Salk	Illumina	Released	CS970
Boot_1	CS76452	Salk	Illumina	Released	CS22551
Bor_1	CS76453	Salk	Illumina	Released	CS22590
Bor_4	CS76454	Salk	Illumina	Released	CS22591
Br_0	CS76455	Salk	Illumina	Released	CS22628
Bs_1		Salk	Illumina	Released	CS6627
Bsch_0	CS76457	Salk	Illumina	Released	CS6630
Bu_0	CS76458	Salk	Illumina	Released	CS6632
Buckhorn_Pass	CS28123	Salk	Illumina	Released	CS28123
CIBC_17	CS28154	Salk	Illumina	Released	CS28154
CIBC_5		Salk	Illumina	Released	CS22602
Ca_0	CS76459	Salk	Illumina	Released	CS6658
Cal_0	CS76460	Salk	Illumina	Released	CS1062
Cerv_1	CS76462	Salk	Illumina	Released	CS22523
Chat_1	CS76463	Salk	Illumina	Released	CS22521
Chi_0	CS76464	Salk	Illumina	Released	CS1072
Cnt_1	CS76467	Salk	Illumina	Released	CS1635
Co	CS28161	Salk	Illumina	Released	CS28161
Co_1	CS76468	Salk	Illumina	Released	CS6669
Com_1	CS76469	Salk	Illumina	Released	CS22522
Cvi_0	CS28198	Salk	Illumina	Released	CS28198
Da1_12	CS76470	Salk	Illumina	Released	CS917
Db_1	CS76471	Salk	Illumina	Released	CS6678
Dem_4		Salk	Illumina	Released
Di_G	CS76472	Salk	Illumina	Released	CS910
Dja_1	CS76473	Salk	Illumina	Released	534AV
Do_0	CS76474	Salk	Illumina	Released	CS6683
Dr_0	CS76475	Salk	Illumina	Released	CS6684
DraIII_1		Salk	Illumina	Released
DraII_1		Salk	Illumina	Released
Dra_0	CS76476	Salk	Illumina	Released	CS6685
Duk		Salk	Illumina	Released
Durh_1	CS76477	Salk	Illumina	Released	CS22552
Ei_2	CS76478	Salk	Illumina	Released	CS22616
El_0	CS76479	Salk	Illumina	Released	CS6694
Ema_1	CS76480	Salk	Illumina	Released	CS1637
En_1	CS28233	Salk	Illumina	Released	CS28233
En_2	CS76481	Salk	Illumina	Released	CS1138
En_D	CS76482	Salk	Illumina	Released	CS920
Er_0	CS76483	Salk	Illumina	Released	CS6698
Es_0	CS76484	Salk	Illumina	Released	CS1144
Est	CS76485	Salk	Illumina	Released	CS6173
Et_0	CS76486	Salk	Illumina	Released	CS6702
Etna_2	CS76487	Salk	Illumina	Released	N/A
Fi_0	CS76488	Salk	Illumina	Released	CS6704
Fr_2	CS76489	Salk	Illumina	Released	CS6708
Ga_0	CS76490	Salk	Illumina	Released	CS22634
Ge_0	CS28276	Salk	Illumina	Released	CS28276
Gel_1	CS76492	Salk	Illumina	Released	CS22533
Gie_0	CS76493	Salk	Illumina	Released	CS6720
Gifu_2	CS76494	Salk	Illumina	Released	CS3963
Got_22	CS28307	Salk	Illumina	Released	CS28307
Got_7		Salk	Illumina	Released	CS22608
Gr_1	CS76496	Salk	Illumina	Released	CS1198
Gre_0	CS76497	Salk	Illumina	Released	CS6729
Gu_0	CS76498	Salk	Illumina	Released	CS22617
Gy_0		Salk	Illumina	Released	CS22631
HR_10	CS28355	Salk	Illumina	Released	CS28355
HR_5	CS76514	Salk	Illumina	Released	CS22596
HSm		Salk	Illumina	Released
Ha_0	CS76500	Salk	Illumina	Released	CS6733
Hau_0	CS76509	Salk	Illumina	Released	CS1220
Hey_1	CS76511	Salk	Illumina	Released	CS22534
Hh_0	CS76512	Salk	Illumina	Released	CS6735
Hn_0	CS76513	Salk	Illumina	Released	CS6739
Hod	CS28351	Salk	Illumina	Released	CS28351
Hs_0	CS76515	Salk	Illumina	Released	CS6905
In_0		Salk	Illumina	Released	CS1238
Is_0	CS76517	Salk	Illumina	Released	CS1240
Je_0	CS76518	Salk	Illumina	Released	CS6742
Jl_3	CS76519	Salk	Illumina	Released	CS6745
